Nom dolmen,"Lieu, autres noms",Commune ,IGN,OSM,Etat,Lat. N (°),Long. E (°),UTM Nord,UTM Est,Vérif.,Classement,Tumulus,Orthostats,Table,Remarques,Pages Web,Photos,Explications
D.de pech Perdit ,,Cajarc,-,+,C,44.51385,1.86863,4929570,410080,ok,,non,oui,oui,couverture cassée,,oui,
D. du Verdier (B),,Cajarc,-,,,44.51039,1.85152,4929205,408714,,,,,,,Clottes Lorblanchet,,
D. de la Peyro lebado,La Deille,Cajarc,-,+,to(c),44.50330,1.831789,4928440,407135,ok,,restes,1 ?,déplacée,ruine,,oui,
Camp d'Inou Tou 1,D. de Bourriou 1,Cajarc,-,,O,44.50169 ,1.86308,4928226,409620,,,non,oui,non,,,,
Camp d'Inou Tou 3,D. de Bourriou 4,Cajarc,-,,"1o,T",44.50103 ,1.86383,4928151,409679,ok,,oui,1,non,ruine,,oui,
Camp d'Inou Tou 2,D. de Bourriou 2,Cajarc,-,,,44.50078 ,1.86531,4928122,409796,,,,,,,,,
D. des Escabasses,,Cajarc,,,,44.4974,1.83978,4927775,407761,,,,,,,,,
D.du Pech Boule,,Cajarc,,,,44.49508,1.80462,4927558,404962,,,,,,,,,
D. de la Plogne,,Cajarc,-,,C,44.48763 ,1.83040,4926700,407000,,,non,oui,oui,gariotte,,,
D. de Cabouy,,Cajarc,,,,,,,,,,,,,,,,
D. de Faysse,,Cajarc,,,,,,,,,,,,,,,,
D. du Verdier bas,Les Grésals,Cajarc,,,,,,,,,,,,,voir D. du Verdier 1,,,
D. de Bouriou,Bourriou 3 ?,Cajarc,,,,,,,,,,,,,,,,
D. de Ruscou,Ruscou,Cambes,-,+,1O,44.62903 ,1.89858,4942330,412630,ok,,non,"2, 1 visible",non,Au milieu du pré,Puy-Blanc,oui,
D. Le communal,Ruscou,Cambes,-,+,"T,1O",44.62770 ,1.90291,4942180,412970,ok,,oui,1 visible,non,Murette au chevet,Puy-Blanc,oui,
D. du Pournel,Causse de la gare,Cambes,-,+,tO,44.62616 ,1.91077,4942000,413596,ok,,restes,2,non,,Puy-Blanc,oui,
D. de Pierre Levée,Causse de la gare,Cambes,-,+,TO,44.62565 ,1.90668,4941948,413270,ok,inscrit MH,gros,1 visible,non,Gros tumulus,Puy-Blanc,oui,
Tumulus,,Cambes,,+,T,44.62463,1.90657,4941835,413260,ok,,oui,,,,,,
D. Igue de Planagrèze,Pana Grèze,Caniac,+,+,C,44.63551 ,1.66296,4943331,393955,,,non,oui,oui,,,oui,
D. ddu pech des Places,,Caniac,,,,,,,,,,,,,,,,
D. de Cavarroc,,Carayac,-,+,TO,44.54192 ,1.91595,4932638,413882,ok,,oui,2,non,,,oui,
D. du Pech de la Curado,Bourrou,Carayac,-,+,Ct,44.53033 ,1.92425,4931340,414530,ok,,restes,"2, un écroulé",oui,,,oui,
D. de Campayroux,,Carayac,,,,,,,,,,,,,,,,
D. de Brillayre,,Carennac,,,,,,,,,,,,,,,,
D. des Igues de Magnagues,,Carennac,,,,44.88722,1.748056,,,,,,,,,,,
D. du Pech de Gabat,,Carennac,,,,,,,,,,,,,,,,
Dolmens du Noutary,,Carennac,,,,44.9025,1.708611,,,,,,,,8 dolmens,,,
Dolmens du Noutary,,Carennac,,,,44.90639,1.706389,,,,,,,,,,,
D. du Pech de Souly,,Carennac,,,,,,,,,,,,,3 D.,,,
D. du Mas de Labat,,Cénevières,-,,Ct,44.44472 ,1.73253,4922050,399144,,,restes,oui,oui,,,,
D. du Mas de Labat (B),,Cénevières,+,+,O,44.44354 ,1.73119,4921921,399035,,,non,oui,non,,,,
D. du pech Mill,,Cénevières,,,,,,,,,,,,,,,,
D. de Peyrelongue,Fourgous,Corn,-,+,CT,44.61705 ,1.89965,4941000,412700,,,oui,oui,oui,Sous chemin communal,Clottes,,
D. du Pech d'Arsou,,Corn,-,+,to,44.61100 ,1.87867,4940350,411026,,,petit,dégradés,non,ruine,Clottes,oui,
D. de Bullac 2,,Corn,-,+,TO,44.59857 ,1.90189,4938945,412850,ok,,oui,2,non,Tumulus + cayrou,,oui,
D. d'Auriac 1,,Corn,-,+,CT,44.59350 ,1.88498,4938415,411480,ok,,oui,oui,oui,,,oui,
D. d'Auriac 3,,Corn,,+,,44.59319 ,1.88199,4938369,411262,,,,,,ruine,,,
D.d'Auriac 2,,Corn,-,+,o,44.59167 ,1.88123,4938210,411190,ok,,non,oui,non,arbre au milieu,,oui,
D. des Combarols, Peyre de l'Homme,Durbans,-,+,c,44.69175 ,1.78795,4949423,403961,,inscrit MH,,oui,oui,,,oui,
D. des Roques (B),,Durbans,-,+,CT,44.68939 ,1.79848,4949149,404792,,inscrit MH,oui,oui,oui,,,,
D. de la Borie Grande,,Durbans,-,,"2,C",44.68433 ,1.74444,4948651,400501,,,non,oui,oui,double,,,
D. du Verdier Petit,D. de Ladignac,Durbans,+,+,C,44.67695 ,1.78272,4947785,403522,,,non,oui,oui,Pierres sur couverture,Clottes,,
D. d'Escasals,,Durbans,-,,,44.65972 ,1.76303,4945895,401932,,,,,,Double,,,
Dolmen,Le Suquet,Espagnac,,+,,44.604871,1.865027,4939685,409934,,,,,,,,,
D. de Coste Pialade ,Ste Eulalie (Tombe de César),Espagnac,-,+,O,44.596625,1.867459,4938766,410150,,,non,2,non,,,,
D. de Cavagnès,,Espagnac,,,,,,,,,,,,,2 D.,,,
D. de Vichelle,Cabanes,Espédaillac,-,+,,44.64510 ,1.81170,4944214,405767,,,,,,,,,
D. de Place del Sol,Pierre Levée,Espédaillac,-,+,CT,44.64466 ,1.78073,4944201,403311,,,oui,oui,oui,,Clottes,,
D. du Pech Ventoux,,Espédaillac,+,+,2,44.63640 ,1.80090,4943260,404897,,,,oui,,Dolmen double,,,
D. de Peyrefit,,Espédaillac,+,+,C,44.62180 ,1.79110,4941649,404095,,,non,oui,oui,,Clottes,,
Mas de l'Artou 1,,Espédaillac,-,,C,44.6210 ,1.79100,4941561,404086,,,non,oui,oui,?,,,
Mas de l'Artou 2,,Espédaillac,,,,44.6160,1.7870,4941010,403760,,,,,,,,,
D. de l'Artillou,,Espédaillac,+,+,C,44.61562 ,1.78681,4940968,403745,,,non,oui,oui,,,,
D. de Ginouillac,,Espédaillac,-,,C,44.60203 ,1.77669,4939470,402919,,,non,oui,oui,,,oui,
D. de Ferrières,,Faycelles,-,,O,44.57381 ,1.99367,4936100,420100,,,non,oui,non,,,,
D. du mas de Bessières,,Faycelles,-,,C,44.55649 ,1.97005,4934200,418200,,,non,oui,oui,,,,
D. la Pierre Levée,,Faycelles,+,,C,44.5542 ,1.98057,4933935,419033,,,non,oui,oui,,,,
D. des Escabasses,Presbytère,Flaujac,-,+,Ct,44.71713 ,1.79549,4952234,404600,,,restes,oui,oui,Bord de route,,oui,
D. de Sadouilles,,Flaujac,-,,,44.70887 ,1.75233,4951368,401168,,,,,,,,,
D. des Mazuquarts,,Flaujac,-,,,44.69874 ,1.75445,4950240,401318,,,,,,2 Dol.,,,
Le Triadou,,Flaujac,,,,,,,,,,,,,,,,
D. d'Uffande,,Floirac,,,,"44°55'03"" ","1°40'52""",4974632,395902,,,,,,,,,
D. de camp del Prieu,Peyrelevade,Floirac,,+,,44.91305,1.68159,4974138,395938,,,,,,,,,
D. de la combe de Xey,,Floirac,,,,"44°54'25"" ","1°41'02""",4973455,396103,,,,,,,,,
D. du Pech-Cayrou,,Floirac,+,,,44.90484 ,1.67337,4973235,395268,,,,,,,,,
D. de Ressegayre,Cloup de Verny,Floirac,+,,,44.90161 ,1.67226,4972878,395175,,,,,,,,,
D. des Barthes,,Floirac,,,,"44°53'45"" ","1°40'25""",4972234,395271,,,,,,,,,
D. des Barthes,,Floirac,,,,"44°53'36"" ","1°40'31""",4971954,395398,,,,,,2 Dol.,,,
D. de cloup de Roual,,Floirac,,,,"44°53'33"" ","1°41'47""",4971835,397064,,,,,,,,,
D. de Candare,,Floirac,+,,,44.89172 ,1.68279,4971766,395988,,,,,,2 Dol.,,,
D. des Roucailles,,Floirac,,,,,,,,,,,,,,,,
D. le Douyounet,Combescure,Fontanes,+,+,,44.67142 ,1.63968,4947350,392175,,,,,,,,,
D. de Nougayrac,,Fontanes,+,+,,44.6625 ,1.697,4946285,396702,,classé MH,,,,,,oui,
D. de Pierre Basse,,Fontanes,,,,,,,,,,,,,,,,
D. des Cloups,,Ginouillac,-,,c,44.72388 ,1.53668,4953319,384115,,classé MH,non,oui,oui,,,,
D. du Pech de Grammont,,Gramat,-,,"2,CT",44.78479 ,1.67273,4959901,395000,,inscrit MH,oui,oui,oui,Dolmen double,,,
D. du Terrou,,Gramat,-,,,44.77567 ,1.76235,4958776,402074,,,,,,,,,
D. des  Plassous,Las Aspes,Gramat,-,,tO,44.77297 ,1.68947,4958566,396303,,classé MH,petit,oui,non,,,,
D. de Bouyé,D. des Rougières,Gramat,-,,CT,44.77244 ,1.74592,4958437,400769,,,oui,oui,oui,,,,
D. de Saint Chignes,cayrou gros,Gramat,-,+,CT,44.75012,1.76020,4955940,401861,ok,,oui,oui,oui,,,oui,
D. de la Crouzate,,Gramat,,,,,,,,,,,,,,,,
D. de la Bournerie,,Gramat,,,,,,,,,,,,,2 dol.,,,
Tumulus,Borderie,Gréalou,-,+,T,44.55522 ,1.89846,4934133,412513,ok,,oui,,,Ronces,,,
Dolmen,le Clos,Gréalou,-,,,44.55044 ,1.88202,4933620,411200,,,,,,pas trouvé,,,
D. du puy Manau,Puy Manon,Gréalou,-,,,44.54674 ,1.89003,4933200,411830,,,,,,pas trouvé (détruit),,,
D. du Moulin ,Le moulin,Gréalou,-,+,1O,44.54101 ,1.87762,4932577,410836,ok,,non,1,non,Restes en bord de route,,,
D. de Ganil,Tessonières,Gréalou,+,+,CT,44.53527 ,1.90265,4931912,412816,ok,inscrit MH,oui,oui,oui,,,oui,
D. du Pech Laglaire 1,,Gréalou,+,+, CT,44.53485 ,1.86264,4931910,409636,ok,classé MH,oui,oui,oui,,Laglaire,oui,
D. du Pech Laglaire 2,,Gréalou,+,+,C,44.53461 ,1.86549,4931890,409861,ok,classé MH,non,oui,oui,,Laglaire,oui,
D.  Champs Cayrous,Tessonières,Gréalou,-,+,1O(C),44.53327 ,1.90537,4931689,413029,ok,,non,1 visible,déplacée,,,oui,
D. du Pech Laglaire 3,,Gréalou,-,+,cT,44.53288 ,1.86665,4931686,409952,ok,,oui,2,morceau,,Laglaire,oui,
Pech Laglaire 4,,Gréalou,-,+,T,44.53215 ,1.85933,4931614,409369,,,oui,,,,,,
Pech Laglaire 5,,Gréalou,-,+,T,44.53191,1.86739,4931578,410009,ok,,oui,,,,,,
D. de Sénil ,,Gréalou,-,+,TO,44.52972 ,1.85544,4931347,409056,ok,,oui,oui,non,,,oui,
D. des Aguals,Combe de l'ours,Gréalou,-,+,CT,44.52869 ,1.89447,4931191,412156,ok,inscrit MH,oui,oui,oui,,,oui,
D. de Vandourgues,Mas Mondieu,Gréalou,+,+,C,44.52777 ,1.85406,4931132,408944,ok,,non,oui,oui,,,oui,
D. du Chenil,,Gréalou,,,,,,,,,,,,,,,,
D. du Verdier,,Gréalou,,,,,,,,,,,,,3 dol.,,,
D. du Custalou,,Grèzes,+,+,C,44.6250 ,1.8140,4941978,405917,,classé MH,non,oui,oui,,,,
D. du Cloup de Périès,D. des Ramades,Grèzes,+,,C,44.61690 ,1.82770,4941063,406991,,,non,oui,oui,,Clottes,oui,
Tumulus,Ligoussou,Grèzes,,+,T,44.61000,1.84883,4940265,408656,,,oui,,,,,,
D. du Ligoussou,champ des Granges,Grèzes,+,+,CT,44.60994,1.85070,4940259,408805,,,oui,oui,oui,,,oui,
Tumulus,Ligoussou,Grèzes,-,,T,44.60990,1.85490,4940254,409138,ok,,oui,,,,,,
D. des Fourques Basses,,Grèzes,,,,"44°36'22"" ","1°48'35""",4939885,405547,,,,,,,,,
D. du lac de Lapeyre,,Grèzes,,,,,,,,,,,,,,,,
D. de Lacoste ou des Girbes,Gary,Issendolus,-,+,Ct,44.75126,1.76424,4956062,402183,ok,,restes,2,oui,1 orthostat couché,,oui,
D. de Gary,D. des Combes,Issendolus,-,,O(C ),44.74756,1.76743,4955647,402429,,,non,2,déplacée,table 3 morceaux,,,
D. de la Pierre Levée,D. de la Baume (Clottes),Issendolus,+,+,CT,44.74152,1.80471,4954938,405370,ok,classé MH,oui,oui,oui,,Gary,oui,
D. de Beaupendu,D. du Causse,Issendolus,-,,1O,44.74100,1.76125,4954927,401929,,,non,1,non,,Beaupendu,,
D. de Souilhol,,Issendolus,,,1O,44.7410,1.7645,4954922,402186,,,non,1 au Sud,non,,Souilhol,,
D. de Gabaudet 1,Devèze,Issendolus,-,+,C,44.714836,1.75159,4952034,401119,,classé MH,non,oui,oui,,,oui,
D. de Gabaudet 2,,Issendolus,-,+,C,44.71415 ,1.751164,4951951,401084,,classé MH,non,oui,oui,,,oui,
D. dit la Pierre-Levée,Pélissié,Lalbenque,+,,C,44.32524 ,1.57635,4908983,386485,,,,,,,,,
D. de Balach,,Lalbenque,,,,,,,,,,,,,,,,
D. de la borie Rouge,Peyrelevade,Lalbenque,,,,,,,,,,,,,,,,
D. de Marcenac,,Lalbenque,,,,,,,,,,,,,,,,
D. de Pélissié,,Lalbenque,,,,,,,,,,,,,,,,
D. du Cuzoul,,Lalbenque,,,,,,,,,,,,,2 dol.,,,
D. de Cargoulet,Cun,Larnagol,+,,O,44.51115 ,1.77506,4929377,402638,,,non,oui,non,,,,
D. du pech des Agars,peyro cotado,Larnagol,+,+,CT,44.49237 ,1.7532,4927318,400869,,,oui,oui,oui,,,,
D. du Mas de Jantou 2,Peyro Levado,Larnagol,-,,toc,44.49232 ,1.75146,4927314,400731,,classé MH,restes,oui,petite,,,,
D. du mas de Jantou,Peyro Clabado,Larnagol,-,,C,44.488 ,1.753,4926832,400846,,,non,oui,oui,,,,
D. du pech de Bourrou,,Laroque-Toirac,-,,O,44.52636 ,1.92401,4930900,414500,,,non,oui,non,,,,
D. Pech de Molinié 2,,Larroque-Toirac,-,,,44.5225 ,1.9425,4930452,415963,,,,,,Position douteuse,,,
D. de la Fumade,,Larroque-Toirac,-,,cO,44.52098 ,1.92663,4930300,414700,,,non,oui,petite,,,,
D. du pech Raynal,,Larroque-Toirac,,,,,,,,,,,,,,,,
D. dit la Pierre-Levée,,Lentillac,+,,C,44.55318,1.6477,4934206,392593,,classé MH,non,oui,oui,,,,
D.  Des Bouygues,,Lentillac,-,,C,44.549 ,1.641,4933750,392053,,,non,oui,oui,,,,
D. d'Agranel,"Bosgarnel, Bosc",Limogne,+,+,Ct,44.41602 ,1.78491,4918799,403264,,classé MH,restes,oui,oui,,,,
D. de Pech-Lapeyre,Lac-d'Aurié; Fourès,Limogne,+,,C,44.40169 ,1.7527,4917246,400676,,classé MH,non,oui,oui,,,,
D. dit de Joncas,,Limogne,+,,C,44.39016 ,1.75237,4915965,400630,,inscrit MH,non,oui,oui,,joncas,oui,
D. de Pajot,,Limogne,,,C,"44°23'16"" ","1°46'48""",4915668,402827,,classé MH,non,oui,oui,,,,
D. de Ferrières-Haut,,Limogne,+,,C,44.38157 ,1.74064,4915026,399681,,classé MH,non,oui,oui,,joncas,,
D. Mas Rolland,,Limogne,,+,,44.38774,1.77988,4915664,402818,,,,,,,,,
D. de la Pierre Levée,,Limogne,,,,,,,,,,,,,,,,
D. du Pech de Mazuc,,Limogne,,,,,,,,,,,,,ruiné,,,
D. du Cayrou Gros,,Limogne,,,,,,,,,,,,,,,,
D. de Rougié,,Livernon,+,+,C,44.66149 ,1.82055,4946024,406496,,,non,oui,oui,,,,
D. de la Pierre-Martine,Boyne,Livernon,+,+,C,44.66081 ,1.82086,4945948,406519,,inscrit MH,non,oui,oui,,pierre-martine,,
D. de la terre 1,La Balmette,Livernon,-,+,2O,44.64257,1.88951,4943846,411934,ok,,restes,2,non,Orthostats couchés,,oui,
D. de la Terre 2,La cournayral,Livernon,-,+,T(C),44.63789 ,1.88962,4943325,411930,ok,,oui,2,déplacée,Couverture déplacée,,oui,
D. le Cun,Bélinac,Livernon,-,+,TO,44.63568 ,1.87687,4943094,410921,ok,,oui,2,non,,,oui,
Menhir de Bélinac,,Livernon,+,+,,44.63529,1.85888,4943070,409493,,classé MH,,,,,bélinac,oui,
D. de la Croze,"Pech Mage, le Cun",Livernon,-,+,C,44.63457 ,1.86998,4942978,410370,ok,,non,oui,oui,Couverture fendue,,oui,
D. du Cloup Caoud 2,Le Cun,Livernon,-,+,O,44.63433 ,1.87750,4942943,410969,ok,,non,2,non,Dans murette,,oui,
D. du Cloup Caoud 1,Le Cun,Livernon,-,+,tO,44.63373 ,1.87792,4942872,411003,ok,,restes,2,non,Murette au chevet,,oui,
Tumulus,Bois bas,Livernon,-,+,T,44.63161 ,1.88816,4942630,411810,ok,,oui,,,,,,
D. du Mas de Tourel,,Livernon,,+,,44.62885 ,1.85263,4942362,408988,,,,,,,,,
D. du Pouzat,Pech Peyrou,Livernon,+,+,C,44.62110 ,1.87010,4941482,410362,,inscrit MH,non,oui,oui,,,oui,
D. de Boudoulou,,Livernon,,,,,,,,,,,,,,,,
D. de Vichelle,,Livernon,,,,.,,,,,,,,,3 dol.,,,
D. du Pech Plumet (B),,Loubressac,-,+,,44.85461 ,1.77495,4967530,403203,,,,,,,,,
D. du Pech Plumet (A),,Loubressac,+,+,C,44.85413 ,1.76968,4967483,402786,,,non,oui,oui,,,oui,
D. d'Auraste,,Loubressac,-,+,C,44.85192 ,1.80392,4967197,405488,,,non,oui,oui,,,,
Cayrou de l'Homme Mort,Gintrac,Loubressac,,,,,,,,,,,,,,,,
D. de Croix Hélène,D. des Breilles,Loubressac,,,,44.86028,1.765833,,,,,,,,,,,
D. du Siran,,Loubressac,,,,,,,,,,,,,,,,
D. de la Terre de Lacoste,,Loubressac,,,,,,,,,,,,,,,,
D. de Combes-Hautes,Pailhes Nord,Marcilhac,+,,C,44.56738 ,1.76238,4935639,401725,,,non,oui,oui,,,oui,
D. de Pourquayré,,Marcilhac,-,,T,44.55428 ,1.79511,4934145,404303,,,oui,,non,2 dolmens,,,
D. du mas de Jean Blanc,Métaierie haute,Marcilhac,+,+,C,44.55155 ,1.80261,4933833,404894,ok,,non,oui,oui,,,oui,
D. de Péchaud,Borie-Haute Sud,Marcilhac,+,+,tO,44.54799,1.80078,4933439,404743,ok,,restes,2,non,,,oui,
D. du cloup de Payrol,,Marcilhac,-,+,TO,44.54775,1.79427,4933420,404225,ok,,oui,oui,non,,,oui,
D. de la Devèze-sud,,Marcilhac,-,+,,44.54648 ,1.75537,4933325,401133,ok,inscrit MH,,,,,Clottes,oui,
D. de la Combe de Sole 3,n°1 ?,Marcilhac,-,+,C,44.54187,1.81352,4932745,405745,ok,,non,oui,oui,petit dolmen,,oui,
D. de la Combe de Sole 2,,Marcilhac,-,+,CT,44.54031,1.81450,4932570,405820,ok,inscrit MH,oui,oui,oui,grand dolmen,,oui,
D. de la Combe de Sole 1,n°3 ?,Marcilhac,-,+,tc,44.53856,1.81511,4932375,405866,ok,,restes,oui,oui,Dolmen écroulé,,oui,
"D, de Cune",,Marcilhac,+,+,Ct,44.53694 ,1.81336,4932197,405724,ok,,restes,oui,oui,carrefour D17,,oui,
D. de Majourals,,Marcilhac,,,C,"44°32'12"" ","1°48'47""",4932168,405700,,,non,oui,oui,,,,
D. du Bout de la Combe,,Marcilhac,,,,,,,,,,,,,,,,
D. dit Peyrebru,,Miers,+,,Ct,44.8835 ,1.69624,4970836,397036,,,restes,oui,oui,,,,
D. de Fieux,,Miers,+,+,CT,44.87967 ,1.69364,4970413,396824,,,oui,oui,oui,2 dol.,,,
D. de Gniars,D. de Ferrières,Miers,+,,O,44.87693 ,1.70341,4970097,397590,,,non,oui,non,,,,
D. du Pech des Auques,,Miers,,,,"44°52'26"" ","1°40'20""",4969799,395121,,,,,,,,,
D. de Barrières (A),,Miers,+,,C,44.87132 ,1.69316,4969487,396771,,,non,oui,oui,,,,
D. dit la Pierre-Levée,Barrières (C),Miers,+,,Ct,44.8688 ,1.68375,4969219,396023,,inscrit MH,restes,oui,oui,,,,
D. de la Carture,,Miers,-,,t,44.86377 ,1.68221,4968662,395892,,,restes,,non,,,,
D. de Sabadel,,Miers,+,,T,44.86193 ,1.68729,4968451,396290,,,oui,,non,,,,
D. de Moussié Haut,,Miers,+,,"2,TO",44.85846 ,1.73416,4968007,399987,,,oui,oui,non,Dolmen double,,,
D. de la Borie de Lalé,,Miers,,,,,,,,,,,,,,,,
